year,solar_cf,wind_cf,solar_capacity,wind_capacity,solar_generation,wind_generation,renewables,emissions
2021,0.1056,0.1866,1.0,1.0,0.1056,0.1866,0.2922,35.2
2022,0.1151,0.1945,1.05,1.05,0.1208,0.2042,0.3251,39.7
2023,0.1023,0.2217,1.1025,1.1025,0.1128,0.2444,0.3572,40.1
2024,0.1069,0.2272,1.1576,1.1576,0.1237,0.263,0.3868,39.6833
2025,0.1117,0.2329,1.2155,1.2155,0.1358,0.2831,0.4189,38.5499
2026,0.1167,0.2387,1.2763,1.2763,0.149,0.3047,0.4537,38.8574
2027,0.122,0.2447,1.3401,1.3401,0.1635,0.3279,0.4914,38.4049
2028,0.1275,0.2508,1.4071,1.4071,0.1794,0.3529,0.5323,37.5962
2029,0.1332,0.2571,1.4775,1.4775,0.1968,0.3798,0.5766,37.89
2030,0.1392,0.26,1.5513,1.5513,0.2159,0.4033,0.6193,37.2807
2031,0.1455,0.26,1.6289,1.6289,0.2369,0.4235,0.6604,37.1374
